Unnamed: 0,Cuisine,Dish Name,Ingredients,Calories,Carbs,Fat,Protein,Recipe_url
853, Chinese,Mochiko Asian Fried Chicken,egg cornstarch sugar garlic sweet rice flour salt onion oyster sauce boneless chicken thigh cut half vegetable oil deep,877,20,69,44,https://www.allrecipes.com/recipe/169582/mochiko-asian-fried-chicken/
854, Chinese,Chinese Chicken and Ginger Steamed Soup Dumplings,chicken stock agar-agar flake ginger root spring onion warm water ground chicken soy sauce cooking wine sesame oil sugar ground pepper,221,29,5,14,https://www.allrecipes.com/recipe/257935/chinese-chicken-and-ginger-steamed-soup-dumplings/
855, Chinese,Crispy Sweet and Sour Chicken,egg yolk soy sauce cornstarch salt ground pepper boneless chicken breast cut piece,442,41,11,40,https://www.allrecipes.com/recipe/282323/crispy-sweet-and-sour-chicken/
856, Chinese,Chicken Vicious,vegetable oil boneless chicken breast half cut inch piece vinegar sugar soy sauce pepper flake garlic powder onion powder ground ginger button mushroom frozen pea onion cornstarch cold water,442,68,5,34,https://www.allrecipes.com/recipe/51039/chicken-vicious/
857, Chinese,Hunan Chicken and Vegetables,pepper pod soy sauce tate onion hoisin sauce chile oil jarred garlic sugar ground ginger salt vegetable oil chicken broiler fryer breat meat raw water carrot strip bell pepper onion baby corn water chestnut bamboo shoot warm cooked rice,409,56,11,26,https://www.allrecipes.com/recipe/282043/hunan-chicken-and-vegetables/
858, Chinese,Must-Try Hainanese Chicken Rice,chicken stalk spring onion garlic ginger root water cover salt,1047,129,30,60,https://www.allrecipes.com/recipe/246922/must-try-hainanese-chicken-rice/
859, Chinese,Hot and Spicy Sichuan Chicken,chicken ginger sichuan peppercorn soy sauce chile oil sugar monosodium glutamate sichuan peppercorn oil spring onion cut piece sesame seed,378,10,33,11,https://www.allrecipes.com/recipe/257933/hot-and-spicy-sichuan-chicken/
860, Chinese,China Sun Chicken,vegetable oil boneless chicken breast half cut inch piece carrot garlic ground ginger shallot bell pepper pineapple chunk juice liquid water soy sauce cornstarch vinegar pepper flake,477,51,14,38,https://www.allrecipes.com/recipe/168666/china-sun-chicken/
861, Chinese,Instant Pot® Chinese Black Pepper Chicken with Celery,oil onion celery chicken broth garlic soy sauce rice vinegar ginger ground pepper frozen cubed chicken sesame oil water cornstarch,349,8,18,37,https://www.allrecipes.com/recipe/281334/instant-pot-chinese-black-pepper-chicken-with-celery/
862, Chinese,Healthy Instant Pot® Orange Chicken,vegetable oil cornstarch salt garlic powder five-spice powder chicken breast cut piece,499,32,30,24,https://www.allrecipes.com/recipe/270332/healthy-instant-pot-orange-chicken/
863, Chinese,Bento Box Chicken Lo Mein,boneless chicken breast cubed egg cornstarch sesame oil egg noodle vegetable oil frozen stir-fry vegetable cold water chicken broth soy sauce oyster sauce,644,78,19,42,https://www.allrecipes.com/recipe/284999/bento-box-chicken-lo-mein/
864, Chinese,Hot and Spicy Hunan-Style Chicken,soy sauce dry sherry ginger boneless chicken breast cut piece chile pepper shallot scallion anise seed chicken broth rice wine vinegar sugar salt oil cornstarch,581,20,33,50,https://www.allrecipes.com/recipe/282044/hot-and-spicy-hunan-style-chicken/
865, Chinese,Sweet and Sour Chicken,water pineapple chunk sugar vinegar orange food color cornstarch self-rising flour vegetable oil cornstarch egg salt ground pepper water boneless chicken breast half cut inch cube vegetable oil bell pepper cut inch piece,639,56,18,59,https://www.allrecipes.com/recipe/8536/sweet-and-sour-chicken-i/
866, Chinese,Sweet and Sour Pork,pork butt cut inch cube,663,75,35,14,https://www.allrecipes.com/recipe/31144/sweet-and-sour-pork-iii/
867, Chinese,Chinese Pork Dumplings,soy sauce rice vinegar chive sesame seed sauce,540,50,25,28,https://www.allrecipes.com/recipe/228052/chinese-pork-dumplings/
868, Chinese,Char Siu (Chinese BBQ Pork),soy sauce honey ketchup brown sugar rice wine hoisin sauce bean curd five-spice powder,483,54,9,44,https://www.allrecipes.com/recipe/232681/char-siu-chinese-bbq-pork/
